id,title,author_hash,fandoms,fandom_tag_ids,general_tag_ids,unknown_tags,language,words,chapters,comments,kudos,bookmarks,hits,date,rating,category,warnings,status
4332255,stages,35a10c2f0c383ca893c607a1e926ea5a57a8584f8cdb3b2dce1d44fa6a2ce0f1,[],7+3+0+,457+1518+,[],en,6931,3/3,32,179,17,3334,2015-07-20,G,M,CN,C
4382384,Every Second/ Every Day,32f6fe47a3ff44716ad24568aabc488a31951ab2295e3ee7b65d68969f9804e1,[],7+5+1+,+,['Kim Namjoon | Rap Monster/Kim Seokjin | Jin/Min Yoongi | Suga'],en,6979,1/1,29,388,64,3820,2015-07-20,T,M,N,C
4383176,devoid,3216601a03e265f571b21ac334f87b7c1710555d7eef1b361c9fff49b56d6eb8,[],9+2+1+4+5+,128+,['Kim Namjoon | Rap Monster'],en,3028,1/1,21,500,40,4469,2015-07-20,T,M,N,C
4383440,Not My Type,5df56fd846d74360499e65aec6be62b979a4dcda69a4f374d74c08238e100cb3,[],9+7+2+1+0+3+4+5+,414+,"['Kim Namjoon | Rap Monster', 'sad attempt at humour', 'this is basically crack']",en,3155,1/1,55,948,115,10236,2015-07-20,T,M,N,C
4384814,Nobody,1447cca7eb31c9de6f43202edbeb7ef5d4259fa7de9e387834b04f63ea9920c7,[],37+157+2+,614+414+2919+1616+27+60+567+2004+168+941+518+141+57+5+,['lol'],en,5036,1/1,6,273,28,11093,2015-07-20,M,H,C,C
4385657,Friday Night at the Drive-In Bingo,b37825d841f3b4fb7d224234bd5b4621690f779f9a122258385b3c64b7cd3e2c,[],12+0+2+,836+,"['""my hobby is reading ikea catalogues"" -myg']",en,1624,1/1,10,814,104,9520,2015-07-20,G,M,N,C
4386287,Blood and Poison,a868186c2edf9ad5f9f24542e3fd8194ae9e352bea48d57169f054db0856287b,[],11+1+3+,2+75+401+59+,"['Kim Namjoon | Rap Monster', 'Suicide Squad AU']",en,2940,1/1,81,950,171,15307,2015-07-20,M,M,C,C
4388381,pigmented,f3ecdc2380d86c3b6b5ab0c8a7ed9968816c0bebfd18bec6d04fd9b54d29729d,[],2+0+,+,"['pre-established qp’s', 'but they still call each other friends', 'this is literally just yoongi dyeing jeongguk’s hair', '& banter', 'it’s kinda cute']",en,2186,1/1,1,94,4,1038,2015-07-21,G,O,C,C
4380869,Intoxicated with Your Scent,30e8dbb8a5074ae13e803998131a576d4e27c30bf835b93e2bf96e15365b1d70,[],11+144+3+1+,0+58+284+,"['Jimin/Taehyung', 'VMIN', 'Park Jimin', 'smut maybe later on??']",en,2086,2/?,7,51,0,1132,2015-07-21,G,M,C,W
4389827,you're always worth it (and you deserve it),3da45e3868bf11e7c491be40019d33e1029dfd18aea6cac8996f2329dfe2cd2a,[],32+5+3+,1596+323+825+242+2420+,"['ig lmao', 'seokjin making a cameo for the last 3 seconds']",en,2823,1/1,27,414,63,10640,2015-07-21,E,M,N,C
4390304,Take You All The Way,b5de0bb8badf5f39b4e57f1c23e170caf26c41672325b16a6709358d9b1e636c,[],7+9+3+0+1+2+4+5+,+,['Kim Namjoon | Rap Monster'],en,19385,1/1,51,3206,732,66459,2015-07-21,E,M,C,C
4390412,Drown,ef9cde63d7f03c7de4e9a7d14275bd1d1e732e49489742ffd2b0fd32096180dd,[],9+2+1+,+,"['MermaidAU', 'jimin is a mermaid okay', 'yoongi is slightly depressed but yeah']",en,2012,1/1,7,246,25,3383,2015-07-21,G,M,N,C
4390667,Another Story,32f6fe47a3ff44716ad24568aabc488a31951ab2295e3ee7b65d68969f9804e1,[],0+5+1+3+,+,['Kim Namjoon | Rap Monster/Kim Seokjin | Jin/Min Yoongi | Suga'],en,4820,1/1,11,463,64,5008,2015-07-21,M,M,RU,C
